id,JobCategory
1,Construction / trades
2,Manufacturing
3,Scientific / QA
4,Graduate
5,Property
6,Engineering
7,Customer service / support
8,Education
9,Management / exec / consulting
10,Transport / logistics / warehouse
11,Domestic help
12,Sales
13,Energy / oil & gas
14,Marketing / advertising / PR
15,Admin / clerical / secretarial
16,Creative / design / arts & media
17,HR & recruitment
18,Unknown
19,IT / Computing / Software
20,Accounting / Finance
21,Wholesale and retail
22,Catering and hospitality
23,Facilities / maintenance
24,Healthcare and Social care
25,Other / general
26,Legal
27,Travel / tourism
28,Charity / voluntary
29,Part-time / weekend
30,All industries
