v4_1,Data Marking,calendar-years,Time,uk-only,Geography,adzuna-jobs-category,AdzunaJobsCategory,week-number,Week
36.6,,2020,2020,K02000001,United Kingdom,catering-and-hospitality,Catering and hospitality,week-40,Week 40
60.2,,2020,2020,K02000001,United Kingdom,engineering,Engineering,week-40,Week 40
40,,2020,2020,K02000001,United Kingdom,marketing-advertising-pr,Marketing / advertising / PR,week-40,Week 40
69,,2020,2020,K02000001,United Kingdom,customer-service-support,Customer service / support,week-40,Week 40
109.3,,2019,2019,K02000001,United Kingdom,admin-clerical-secretarial,Admin / clerical / secretarial,week-40,Week 40
91.2,,2019,2019,K02000001,United Kingdom,education,Education,week-40,Week 40
123.5,,2021,2021,K02000001,United Kingdom,management-exec-consulting,Management / exec / consulting,week-40,Week 40
164.1,,2021,2021,K02000001,United Kingdom,customer-service-support,Customer service / support,week-40,Week 40
155.8,,2019,2019,K02000001,United Kingdom,transport-logistics-warehouse,Transport / logistics / warehouse,week-40,Week 40
97.3,,2019,2019,K02000001,United Kingdom,facilities-maintenance,Facilities / maintenance,week-40,Week 40
133,,2019,2019,K02000001,United Kingdom,domestic-help,Domestic help,week-40,Week 40
67.7,,2020,2020,K02000001,United Kingdom,creative-design-arts-and-media,Creative / design / arts & media,week-40,Week 40
45.7,,2020,2020,K02000001,United Kingdom,sales,Sales,week-40,Week 40
108.9,,2019,2019,K02000001,United Kingdom,construction-trades,Construction / trades,week-40,Week 40
257.4,,2021,2021,K02000001,United Kingdom,manufacturing,Manufacturing,week-40,Week 40
380.4,,2021,2021,K02000001,United Kingdom,transport-logistics-warehouse,Transport / logistics / warehouse,week-40,Week 40
165.2,,2021,2021,K02000001,United Kingdom,catering-and-hospitality,Catering and hospitality,week-40,Week 40
188.5,,2021,2021,K02000001,United Kingdom,hr-and-recruitment,HR & recruitment,week-40,Week 40
255.8,,2018,2018,K02000001,United Kingdom,manufacturing,Manufacturing,week-40,Week 40
93.9,,2018,2018,K02000001,United Kingdom,energy-oil-and-gas,Energy / oil & gas,week-40,Week 40
144.5,,2018,2018,K02000001,United Kingdom,construction-trades,Construction / trades,week-40,Week 40
166.2,,2018,2018,K02000001,United Kingdom,transport-logistics-warehouse,Transport / logistics / warehouse,week-40,Week 40
98.3,,2018,2018,K02000001,United Kingdom,marketing-advertising-pr,Marketing / advertising / PR,week-40,Week 40
130.5,,2020,2020,K02000001,United Kingdom,manufacturing,Manufacturing,week-40,Week 40
70.1,,2020,2020,K02000001,United Kingdom,scientific-qa,Scientific / QA,week-40,Week 40
78.8,,2020,2020,K02000001,United Kingdom,healthcare-and-social-care,Healthcare and Social care,week-40,Week 40
114.8,,2020,2020,K02000001,United Kingdom,domestic-help,Domestic help,week-40,Week 40
37.2,,2020,2020,K02000001,United Kingdom,unknown,Unknown,week-40,Week 40
,..,2022,2022,K02000001,United Kingdom,sales,Sales,week-40,Week 40
,..,2022,2022,K02000001,United Kingdom,unknown,Unknown,week-40,Week 40
128,,2018,2018,K02000001,United Kingdom,creative-design-arts-and-media,Creative / design / arts & media,week-40,Week 40
7947.8,,2018,2018,K02000001,United Kingdom,other-general,Other / general,week-40,Week 40
,..,2022,2022,K02000001,United Kingdom,catering-and-hospitality,Catering and hospitality,week-40,Week 40
,..,2022,2022,K02000001,United Kingdom,transport-logistics-warehouse,Transport / logistics / warehouse,week-40,Week 40
84,,2019,2019,K02000001,United Kingdom,energy-oil-and-gas,Energy / oil & gas,week-40,Week 40
122.6,,2019,2019,K02000001,United Kingdom,graduate,Graduate,week-40,Week 40
102.9,,2019,2019,K02000001,United Kingdom,it-computing-software,IT / Computing / Software,week-40,Week 40
112.6,,2019,2019,K02000001,United Kingdom,legal,Legal,week-40,Week 40
76.6,,2018,2018,K02000001,United Kingdom,it-computing-software,IT / Computing / Software,week-40,Week 40
136.6,,2018,2018,K02000001,United Kingdom,customer-service-support,Customer service / support,week-40,Week 40
108,,2021,2021,K02000001,United Kingdom,graduate,Graduate,week-40,Week 40
139.2,,2021,2021,K02000001,United Kingdom,admin-clerical-secretarial,Admin / clerical / secretarial,week-40,Week 40
111.6,,2021,2021,K02000001,United Kingdom,sales,Sales,week-40,Week 40
88.1,,2019,2019,K02000001,United Kingdom,property,Property,week-40,Week 40
,..,2022,2022,K02000001,United Kingdom,manufacturing,Manufacturing,week-40,Week 40
,..,2022,2022,K02000001,United Kingdom,energy-oil-and-gas,Energy / oil & gas,week-40,Week 40
177.1,,2021,2021,K02000001,United Kingdom,construction-trades,Construction / trades,week-40,Week 40
113.6,,2021,2021,K02000001,United Kingdom,creative-design-arts-and-media,Creative / design / arts & media,week-40,Week 40
124.6,,2019,2019,K02000001,United Kingdom,travel-tourism,Travel / tourism,week-40,Week 40
111.5,,2019,2019,K02000001,United Kingdom,creative-design-arts-and-media,Creative / design / arts & media,week-40,Week 40
334.5,,2019,2019,K02000001,United Kingdom,other-general,Other / general,week-40,Week 40
,..,2022,2022,K02000001,United Kingdom,graduate,Graduate,week-40,Week 40
